date,home_team,away_team,home_score,away_score,difference,won_by,tournament,city,country,neutral
7/13/30,Belgium,United States,0,3,-3,away,FIFA World Cup,Montevideo,Uruguay,TRUE
7/13/30,France,Mexico,4,1,3,home,FIFA World Cup,Montevideo,Uruguay,TRUE
7/14/30,Brazil,Yugoslavia,1,2,-1,away,FIFA World Cup,Montevideo,Uruguay,TRUE
7/14/30,Peru,Romania,1,3,-2,away,FIFA World Cup,Montevideo,Uruguay,TRUE
7/15/30,Argentina,France,1,0,1,home,FIFA World Cup,Montevideo,Uruguay,TRUE
7/16/30,Chile,Mexico,3,0,3,home,FIFA World Cup,Montevideo,Uruguay,TRUE
7/17/30,Bolivia,Yugoslavia,0,4,-4,away,FIFA World Cup,Montevideo,Uruguay,TRUE
7/17/30,Paraguay,United States,0,3,-3,away,FIFA World Cup,Montevideo,Uruguay,TRUE
7/18/30,Uruguay,Peru,1,0,1,home,FIFA World Cup,Montevideo,Uruguay,FALSE
7/19/30,Argentina,Mexico,6,3,3,home,FIFA World Cup,Montevideo,Uruguay,TRUE
7/19/30,Chile,France,1,0,1,home,FIFA World Cup,Montevideo,Uruguay,TRUE
7/20/30,Belgium,Paraguay,0,1,-1,away,FIFA World Cup,Montevideo,Uruguay,TRUE
7/20/30,Bolivia,Brazil,0,4,-4,away,FIFA World Cup,Montevideo,Uruguay,TRUE
7/21/30,Uruguay,Romania,4,0,4,home,FIFA World Cup,Montevideo,Uruguay,FALSE
7/22/30,Argentina,Chile,3,1,2,home,FIFA World Cup,Montevideo,Uruguay,TRUE
7/26/30,Argentina,United States,6,1,5,home,FIFA World Cup,Montevideo,Uruguay,TRUE
7/27/30,Uruguay,Yugoslavia,6,1,5,home,FIFA World Cup,Montevideo,Uruguay,FALSE
7/30/30,Uruguay,Argentina,4,2,2,home,FIFA World Cup,Montevideo,Uruguay,FALSE
5/27/34,Argentina,Sweden,2,3,-1,away,FIFA World Cup,Bologna,Italy,TRUE
5/27/34,Austria,France,3,2,1,home,FIFA World Cup,Turin,Italy,TRUE
5/27/34,Belgium,Germany,2,5,-3,away,FIFA World Cup,Florence,Italy,TRUE
5/27/34,Brazil,Spain,1,3,-2,away,FIFA World Cup,Genoa,Italy,TRUE
5/27/34,Czechoslovakia,Romania,2,1,1,home,FIFA World Cup,Trieste,Italy,TRUE
5/27/34,Egypt,Hungary,2,4,-2,away,FIFA World Cup,Naples,Italy,TRUE
5/27/34,Italy,United States,7,1,6,home,FIFA World Cup,Rome,Italy,FALSE
5/27/34,Netherlands,Switzerland,2,3,-1,away,FIFA World Cup,Milan,Italy,TRUE
5/31/34,Austria,Hungary,2,1,1,home,FIFA World Cup,Bologna,Italy,TRUE
5/31/34,Czechoslovakia,Switzerland,3,2,1,home,FIFA World Cup,Turin,Italy,TRUE
5/31/34,Germany,Sweden,2,1,1,home,FIFA World Cup,Milan,Italy,TRUE
5/31/34,Italy,Spain,1,1,0,draw,FIFA World Cup,Florence,Italy,FALSE
6/1/34,Italy,Spain,1,0,1,home,FIFA World Cup,Florence,Italy,FALSE
6/3/34,Czechoslovakia,Germany,3,1,2,home,FIFA World Cup,Rome,Italy,TRUE
6/3/34,Italy,Austria,1,0,1,home,FIFA World Cup,Milan,Italy,FALSE
6/7/34,Austria,Germany,2,3,-1,away,FIFA World Cup,Naples,Italy,TRUE
6/10/34,Italy,Czechoslovakia,2,1,1,home,FIFA World Cup,Rome,Italy,FALSE
6/4/38,Germany,Switzerland,1,1,0,draw,FIFA World Cup,Paris,France,TRUE
6/5/38,Brazil,Poland,6,5,1,home,FIFA World Cup,Strasbourg,France,TRUE
6/5/38,Cuba,Romania,3,3,0,draw,FIFA World Cup,Toulouse,France,TRUE
6/5/38,Czechoslovakia,Netherlands,3,0,3,home,FIFA World Cup,Le Havre,France,TRUE
6/5/38,France,Belgium,3,1,2,home,FIFA World Cup,Colombes,France,FALSE
6/5/38,Hungary,Indonesia,6,0,6,home,FIFA World Cup,Reims,France,TRUE
6/5/38,Italy,Norway,2,1,1,home,FIFA World Cup,Marseille,France,TRUE
6/9/38,Cuba,Romania,2,1,1,home,FIFA World Cup,Toulouse,France,TRUE
6/9/38,Germany,Switzerland,2,4,-2,away,FIFA World Cup,Paris,France,TRUE
6/12/38,Brazil,Czechoslovakia,1,1,0,draw,FIFA World Cup,Bordeaux,France,TRUE
6/12/38,Cuba,Sweden,0,8,-8,away,FIFA World Cup,Antibes,France,TRUE
6/12/38,France,Italy,1,3,-2,away,FIFA World Cup,Colombes,France,FALSE
6/12/38,Hungary,Switzerland,2,0,2,home,FIFA World Cup,Lille,France,TRUE
6/14/38,Brazil,Czechoslovakia,2,1,1,home,FIFA World Cup,Bordeaux,France,TRUE
6/16/38,Brazil,Italy,1,2,-1,away,FIFA World Cup,Marseille,France,TRUE
6/16/38,Hungary,Sweden,5,1,4,home,FIFA World Cup,Paris,France,TRUE
6/19/38,Brazil,Sweden,4,2,2,home,FIFA World Cup,Bordeaux,France,TRUE
6/19/38,Hungary,Italy,2,4,-2,away,FIFA World Cup,Colombes,France,TRUE
6/24/50,Brazil,Mexico,4,0,4,home,FIFA World Cup,Rio de Janeiro,Brazil,FALSE
6/25/50,Chile,England,0,2,-2,away,FIFA World Cup,Rio de Janeiro,Brazil,TRUE
6/25/50,Italy,Sweden,2,3,-1,away,FIFA World Cup,São Paulo,Brazil,TRUE
6/25/50,Spain,United States,3,1,2,home,FIFA World Cup,Curitiba,Brazil,TRUE
6/25/50,Switzerland,Yugoslavia,0,3,-3,away,FIFA World Cup,Belo Horizonte,Brazil,TRUE
6/28/50,Brazil,Switzerland,2,2,0,draw,FIFA World Cup,São Paulo,Brazil,FALSE
6/28/50,Mexico,Yugoslavia,1,4,-3,away,FIFA World Cup,Porto Alegre,Brazil,TRUE
6/29/50,Chile,Spain,0,2,-2,away,FIFA World Cup,Rio de Janeiro,Brazil,TRUE
6/29/50,England,United States,0,1,-1,away,FIFA World Cup,Belo Horizonte,Brazil,TRUE
6/29/50,Paraguay,Sweden,2,2,0,draw,FIFA World Cup,Curitiba,Brazil,TRUE
7/1/50,Brazil,Yugoslavia,2,0,2,home,FIFA World Cup,Rio de Janeiro,Brazil,FALSE
7/2/50,Bolivia,Uruguay,0,8,-8,away,FIFA World Cup,Belo Horizonte,Brazil,TRUE
7/2/50,Chile,United States,5,2,3,home,FIFA World Cup,Recife,Brazil,TRUE
7/2/50,England,Spain,0,1,-1,away,FIFA World Cup,Rio de Janeiro,Brazil,TRUE
7/2/50,Italy,Paraguay,2,0,2,home,FIFA World Cup,São Paulo,Brazil,TRUE
7/2/50,Mexico,Switzerland,1,2,-1,away,FIFA World Cup,Porto Alegre,Brazil,TRUE
7/9/50,Brazil,Sweden,7,1,6,home,FIFA World Cup,Rio de Janeiro,Brazil,FALSE
7/9/50,Spain,Uruguay,2,2,0,draw,FIFA World Cup,São Paulo,Brazil,TRUE
7/13/50,Brazil,Spain,6,1,5,home,FIFA World Cup,Rio de Janeiro,Brazil,FALSE
7/13/50,Sweden,Uruguay,2,3,-1,away,FIFA World Cup,São Paulo,Brazil,TRUE
7/16/50,Brazil,Uruguay,1,2,-1,away,FIFA World Cup,Rio de Janeiro,Brazil,FALSE
7/16/50,Spain,Sweden,1,3,-2,away,FIFA World Cup,São Paulo,Brazil,TRUE
6/16/54,Austria,Scotland,1,0,1,home,FIFA World Cup,Zürich,Switzerland,TRUE
6/16/54,Brazil,Mexico,5,0,5,home,FIFA World Cup,Geneva,Switzerland,TRUE
6/16/54,Czechoslovakia,Uruguay,0,2,-2,away,FIFA World Cup,Berne,Switzerland,TRUE
6/16/54,France,Yugoslavia,0,1,-1,away,FIFA World Cup,Lausanne,Switzerland,TRUE
6/17/54,Belgium,England,4,4,0,draw,FIFA World Cup,Basel,Switzerland,TRUE
6/17/54,Germany,Turkey,4,1,3,home,FIFA World Cup,Berne,Switzerland,TRUE
6/17/54,Hungary,South Korea,9,0,9,home,FIFA World Cup,Zürich,Switzerland,TRUE
6/17/54,Switzerland,Italy,2,1,1,home,FIFA World Cup,Lausanne,Switzerland,FALSE
6/19/54,Austria,Czechoslovakia,5,0,5,home,FIFA World Cup,Zürich,Switzerland,TRUE
6/19/54,Brazil,Yugoslavia,1,1,0,draw,FIFA World Cup,Lausanne,Switzerland,TRUE
6/19/54,France,Mexico,3,2,1,home,FIFA World Cup,Geneva,Switzerland,TRUE
6/19/54,Scotland,Uruguay,0,7,-7,away,FIFA World Cup,Basel,Switzerland,TRUE
6/20/54,Belgium,Italy,1,4,-3,away,FIFA World Cup,Lugano,Switzerland,TRUE
6/20/54,Germany,Hungary,3,8,-5,away,FIFA World Cup,Basel,Switzerland,TRUE
6/20/54,South Korea,Turkey,0,7,-7,away,FIFA World Cup,Geneva,Switzerland,TRUE
6/20/54,Switzerland,England,0,2,-2,away,FIFA World Cup,Berne,Switzerland,FALSE
6/23/54,Germany,Turkey,7,2,5,home,FIFA World Cup,Zürich,Switzerland,TRUE
6/23/54,Switzerland,Italy,4,1,3,home,FIFA World Cup,Basel,Switzerland,FALSE
6/26/54,England,Uruguay,2,4,-2,away,FIFA World Cup,Basel,Switzerland,TRUE
6/26/54,Switzerland,Austria,5,7,-2,away,FIFA World Cup,Lausanne,Switzerland,FALSE
6/27/54,Brazil,Hungary,2,4,-2,away,FIFA World Cup,Berne,Switzerland,TRUE
6/27/54,Germany,Yugoslavia,2,0,2,home,FIFA World Cup,Geneva,Switzerland,TRUE
6/30/54,Austria,Germany,1,6,-5,away,FIFA World Cup,Basel,Switzerland,TRUE
6/30/54,Hungary,Uruguay,4,2,2,home,FIFA World Cup,Lausanne,Switzerland,TRUE
7/3/54,Austria,Uruguay,3,1,2,home,FIFA World Cup,Zürich,Switzerland,TRUE
7/4/54,Germany,Hungary,3,2,1,home,FIFA World Cup,Berne,Switzerland,TRUE
6/8/58,Argentina,Germany,1,3,-2,away,FIFA World Cup,Malmö,Sweden,TRUE
6/8/58,Austria,Brazil,0,3,-3,away,FIFA World Cup,Uddevalla,Sweden,TRUE
6/8/58,Czechoslovakia,Northern Ireland,0,1,-1,away,FIFA World Cup,Halmstad,Sweden,TRUE
6/8/58,England,Russia,2,2,0,draw,FIFA World Cup,Gothenburg,Sweden,TRUE
6/8/58,France,Paraguay,7,3,4,home,FIFA World Cup,Norrköping,Sweden,TRUE
6/8/58,Hungary,Wales,1,1,0,draw,FIFA World Cup,Sandviken,Sweden,TRUE
6/8/58,Scotland,Yugoslavia,1,1,0,draw,FIFA World Cup,Västerås,Sweden,TRUE
6/8/58,Sweden,Mexico,3,0,3,home,FIFA World Cup,Solna,Sweden,FALSE
6/11/58,Argentina,Northern Ireland,3,1,2,home,FIFA World Cup,Halmstad,Sweden,TRUE
6/11/58,Austria,Russia,0,2,-2,away,FIFA World Cup,Borås,Sweden,TRUE
6/11/58,Brazil,England,0,0,0,draw,FIFA World Cup,Gothenburg,Sweden,TRUE
6/11/58,Czechoslovakia,Germany,2,2,0,draw,FIFA World Cup,Helsingborg,Sweden,TRUE
6/11/58,France,Yugoslavia,2,3,-1,away,FIFA World Cup,Västerås,Sweden,TRUE
6/11/58,Mexico,Wales,1,1,0,draw,FIFA World Cup,Solna,Sweden,TRUE
